"资料ID","文件名","扩展名","文件大小字节","修改时间","主题粗分类","核验状态","原始路径"
"MAT-0001","放入说明.md",".md","781","2026-08-18 14:49:12","待人工归类","说明文件","D:\整体视频流程重建\资料库\原始资料\放入说明.md"
"MAT-0002","(1 封信) 当霸道总裁的行为发生在现实生活中时，你能够接受吗_ - 知乎.pdf",".pdf","1319002","2026-08-18 14:56:21","认知与思维","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\(1 封信) 当霸道总裁的行为发生在现实生活中时，你能够接受吗_ - 知乎.pdf"
"MAT-0003","(1 封信) 历史上有哪些真实的祸从口出的事件？ - 知乎.pdf",".pdf","2342161","2026-08-18 14:56:22","故事与案例","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\(1 封信) 历史上有哪些真实的祸从口出的事件？ - 知乎.pdf"
"MAT-0004","(1 封信) 你是什么时候发现自己其实也是渣（渣）的？ - 知乎【优质合集‖免费获取：cunlove.cN】.pdf",".pdf","857515","2026-08-18 14:56:20","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\(1 封信) 你是什么时候发现自己其实也是渣（渣）的？ - 知乎【优质合集‖免费获取：cunlove.cN】.pdf"
"MAT-0005","(1 封信) 身边有个绿茶婊是种怎样的体验？ - 知乎【整理不易‖记得关注：CunWorKNotes】.pdf",".pdf","731626","2026-08-18 14:56:20","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\(1 封信) 身边有个绿茶婊是种怎样的体验？ - 知乎【整理不易‖记得关注：CunWorKNotes】.pdf"
"MAT-0006","(1 封信) 有什么你认为不错的重生文？ - 知乎【公重号：CunWorkNotes】.pdf",".pdf","979901","2026-08-18 14:56:21","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\(1 封信) 有什么你认为不错的重生文？ - 知乎【公重号：CunWorkNotes】.pdf"
"MAT-0007","(1 封信) 有知道马航内幕吗？ - 知乎.pdf",".pdf","2485196","2026-08-18 14:56:20","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\(1 封信) 有知道马航内幕吗？ - 知乎.pdf"
"MAT-0008","(1 封信) 在后宫，你怎么独占皇帝？ - 知乎【资源精选‖更多关注：CunworkNotes】.pdf",".pdf","909992","2026-08-18 14:56:21","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\(1 封信) 在后宫，你怎么独占皇帝？ - 知乎【资源精选‖更多关注：CunworkNotes】.pdf"
"MAT-0009","(1 封信) 渣和渣在一起了是种什么体验？ - 知乎.pdf",".pdf","1349955","2026-08-18 14:56:21","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\(1 封信) 渣和渣在一起了是种什么体验？ - 知乎.pdf"
"MAT-0010","(2 条消息) 有什么让你忍不住姨母笑的小说？ - 知乎.pdf",".pdf","235472","2026-08-18 14:56:20","故事与案例","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\(2 条消息) 有什么让你忍不住姨母笑的小说？ - 知乎.pdf"
"MAT-0011","《西游记》十大恶怪簿：菩萨妖精，总是一念.pdf",".pdf","540487","2026-08-18 14:58:56","故事与案例","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\《西游记》十大恶怪簿：菩萨妖精，总是一念.pdf"
"MAT-0012","【不易整理‖请关注：CunWorkNoteS】.pdf",".pdf","1436521","2026-08-18 14:58:57","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\【不易整理‖请关注：CunWorkNoteS】.pdf"
"MAT-0013","【持续更新‖免费提供：CunworknoteS】.pdf",".pdf","626754","2026-08-18 14:58:57","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\【持续更新‖免费提供：CunworknoteS】.pdf"
"MAT-0014","【耗时整理‖不易且全免费：cunlOve.cn】.pdf",".pdf","1390616","2026-08-18 14:58:57","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\【耗时整理‖不易且全免费：cunlOve.cn】.pdf"
"MAT-0015","【耗时整理‖免费分享：Cunlove.cn】-7fe4d83010a5.pdf.qkdownloading",".qkdownloading","0","2026-08-18 14:58:57","待人工归类","未完成下载","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\【耗时整理‖免费分享：Cunlove.cn】-7fe4d83010a5.pdf.qkdownloading"
"MAT-0016","【手动整理‖：cunlove.Cn】.pdf",".pdf","812269","2026-08-18 14:58:57","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\【手动整理‖：cunlove.Cn】.pdf"
"MAT-0017","【优质资源‖关注：cunWorkNotes 解锁】.pdf",".pdf","762414","2026-08-18 14:58:57","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\【优质资源‖关注：cunWorkNotes 解锁】.pdf"
"MAT-0018","【整理不易‖记得关注：CunWorKNotes】.pdf",".pdf","441914","2026-08-18 14:58:57","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\【整理不易‖记得关注：CunWorKNotes】.pdf"
"MAT-0019","【整理不易‖免费奉上：cuNlove.cn】.pdf",".pdf","2173443","2026-08-18 14:58:58","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\【整理不易‖免费奉上：cuNlove.cn】.pdf"
"MAT-0020","1-1知乎盐选 _ 如何透过现象看本质？.pdf",".pdf","3555087","2026-08-18 14:56:23","认知与思维","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\1-1知乎盐选 _ 如何透过现象看本质？.pdf"
"MAT-0021","1-2知乎盐选 _ 如何成为问题分析高手？.pdf",".pdf","4798648","2026-08-18 14:56:23","认知与思维","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\1-2知乎盐选 _ 如何成为问题分析高手？.pdf"
"MAT-0022","1-3知乎盐选 _ 思考问题脑子乱怎么办？【花费时间‖免费获取：cunLove.cn】.pdf",".pdf","1327661","2026-08-18 14:56:24","认知与思维","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\1-3知乎盐选 _ 思考问题脑子乱怎么办？【花费时间‖免费获取：cunLove.cn】.pdf"
"MAT-0023","1.知乎盐选 _ 公子请绕道.pdf",".pdf","1282066","2026-08-18 14:56:23","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\1.知乎盐选 _ 公子请绕道.pdf"
"MAT-0024","1.知乎盐选 _ 如何设计具有高点击率的主图？【整理不易‖免费奉上：cuNlove.cn】.pdf",".pdf","1063911","2026-08-18 14:56:22","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\1.知乎盐选 _ 如何设计具有高点击率的主图？【整理不易‖免费奉上：cuNlove.cn】.pdf"
"MAT-0025","1.知乎盐选 _ 一失足成千古恨【耗时整理‖免费分享：Cunlove.cn】.pdf",".pdf","742291","2026-08-18 14:56:22","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\1.知乎盐选 _ 一失足成千古恨【耗时整理‖免费分享：Cunlove.cn】.pdf"
"MAT-0026","10.知乎盐选 _ 疯狂的猴子【整理不易‖记得关注：CunWorKNotes】.pdf",".pdf","622777","2026-08-18 14:56:35","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\10.知乎盐选 _ 疯狂的猴子【整理不易‖记得关注：CunWorKNotes】.pdf"
"MAT-0027","10.知乎盐选 _ 客服回复技巧：如何回复才能提高转化率？【整理不易‖免费奉上：cuNlove.cn】.pdf",".pdf","531028","2026-08-18 14:56:35","商业与产品","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\10.知乎盐选 _ 客服回复技巧：如何回复才能提高转化率？【整理不易‖免费奉上：cuNlove.cn】.pdf"
"MAT-0028","10.知乎盐选 _ 深情最是千年鬼.pdf",".pdf","1115715","2026-08-18 14:56:36","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\10.知乎盐选 _ 深情最是千年鬼.pdf"
"MAT-0029","10边境新娘贩子：为什么受害者更容易成为施害者？【资源精选‖更多关注：CunworkNotes】.pdf",".pdf","1131317","2026-08-18 14:56:36","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\10边境新娘贩子：为什么受害者更容易成为施害者？【资源精选‖更多关注：CunworkNotes】.pdf"
"MAT-0030","11.知乎盐选 _ 疯狂的猴子（二）.pdf",".pdf","605490","2026-08-18 14:56:36","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\11.知乎盐选 _ 疯狂的猴子（二）.pdf"
"MAT-0031","11.知乎盐选 _ 倾城之恋.pdf",".pdf","892119","2026-08-18 14:56:36","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\11.知乎盐选 _ 倾城之恋.pdf"
"MAT-0032","12.知乎盐选 _ 腹黑李扁鹊见沙雕顾桓公.pdf",".pdf","1158898","2026-08-18 14:56:36","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\12.知乎盐选 _ 腹黑李扁鹊见沙雕顾桓公.pdf"
"MAT-0033","12.知乎盐选 _ 坚硬的朝鲜人.pdf",".pdf","712423","2026-08-18 14:56:36","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\12.知乎盐选 _ 坚硬的朝鲜人.pdf"
"MAT-0034","13.知乎盐选 _ 心有所属.pdf",".pdf","987022","2026-08-18 14:56:37","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\13.知乎盐选 _ 心有所属.pdf"
"MAT-0035","13.知乎盐选 _ 兄弟啊我给你报仇.pdf",".pdf","727049","2026-08-18 14:56:37","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\13.知乎盐选 _ 兄弟啊我给你报仇.pdf"
"MAT-0036","14.知乎盐选 _ 我的总裁友竟是杀马特贵族【持续更新‖免费提供：CunworknoteS】.pdf",".pdf","919603","2026-08-18 14:56:37","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\14.知乎盐选 _ 我的总裁友竟是杀马特贵族【持续更新‖免费提供：CunworknoteS】.pdf"
"MAT-0037","14.知乎盐选 _ 又是一个多事之秋.pdf",".pdf","700105","2026-08-18 14:56:37","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\14.知乎盐选 _ 又是一个多事之秋.pdf"
"MAT-0038","15.知乎盐选 _ 我跟狱霸打了一架【整理不易‖记得关注：CunWorKNotes】.pdf",".pdf","679585","2026-08-18 14:56:37","待人工归类","待内容核验","D:\整体视频流程重建\资料库\原始资料\知乎付费1090篇合集 - 精选知乎各领域的深度好文\15.知乎盐选 _ 我跟狱霸打了一架【整理不易‖记得关注：CunWorKNotes】.pdf"
