[0.0-1.9] 还在天天做梦一夜报复吗?
[1.9-2.6] 醒醒吧
[2.6-3.7] 普通人想翻身
[3.7-5.0] 靠的从来不是运气
[5.0-6.3] 也不是无效的拼命
[6.3-7.9] 而是这两个字 稳妇
[7.9-9.0] 接下来这三分钟
[9.0-10.6] 可能有点颠覆你的认知
[10.6-11.8] 甚至会得罪很多人
[11.8-13.3] 但我建议你点赞收藏
[13.3-14.9] 找个安静的地方反复看
[14.9-17.0] 你有没有发现一个非常扎心的现象
[17.0-17.9] 越是穷的人
[17.9-19.0] 越喜欢买彩票
[19.0-20.0] 越是没钱的人
[20.0-21.4] 越容易被那些零投入
[21.4-23.4] 越入十万的低级片局割韭菜
[23.4-24.0] 为什么?
[24.0-25.6] 因为太渴望改变现状了
[25.6-26.4] 太急躁了
[26.4-27.5] 太想走捷径了
[27.5-28.2] 你总想着
[28.2-29.4] 今天投进去一万
[29.4-30.8] 明天就能赚回十万
[30.8-32.3] 后天就能提保世界
[32.3-32.9] 结果呢
[32.9-34.0] 你不仅没赚到钱
[34.0-35.6] 连辛辛苦苦攒下的本金
[35.6-36.6] 都被人捐跑了
[36.6-37.4] 这个世界上
[37.4-38.3] 凡是那些宣称
[38.3-39.9] 能让你快速赚大钱的方法
[39.9-41.2] 全都写在刑法里
[41.2-42.8] 凡是那些主动找上门来
[42.8-44.2] 热情的要带你发财的人
[44.2-45.3] 全都是把你当成了
[45.3-46.3] 他发财的工具
[46.3-47.1] 他们盯上的
[47.1-47.9] 就是你口袋里
[47.9-49.2] 那点可怜的本金
[49.2-50.2] 成年人必须明白
[50.2-51.4] 一个残酷的真相
[51.4-51.9] 快钱
[51.9-53.2] 普通人是赚不到的
[53.2-54.1] 就算你运气好
[54.1-55.0] 偶然赚到了
[55.0-55.8] 凭你的认知
[55.8-56.9] 你也绝对守不住
[56.9-58.8] 市场会有一万种方法收割你
[58.8-60.6] 真正能让你实现阶层月遷的
[60.6-61.3] 从来不是什么
[61.3-62.8] 惊天动地的报复神话
[62.8-64.0] 而是那些慢功夫
[64.0-64.9] 是那种看起来
[64.9-66.6] 甚至有点笨笨的稳负策略
[66.6-67.7] 很多人瞧不上一年
[67.7-69.2] 百分之五百分之八的文件
[69.2-69.8] 收益率
[69.8-70.7] 觉得太慢了
[70.7-71.5] 要猴年马月
[71.5-72.7] 才能买房买车
[72.7-73.9] 但爱因斯坦说过
[73.9-75.6] 复利是世界第八大奇迹
[75.6-76.4] 你以为的慢
[76.4-78.2] 其实在时间维度的加持下
[78.2-79.2] 才是真正的快
[79.2-80.4] 如果你想彻底洗脑
[80.4-82.4] 自己那套根深蒂固的穷人思维
[82.4-83.7] 如果你想在这个浮躁的
[83.7-84.9] 让人窒息的时代里
[84.9-85.8] 找到一条真正
[85.8-87.3] 适合普通人的支付之路
[87.3-88.9] 你一定要看看这本稳妇
[88.9-89.6] 说实话
[89.6-91.1] 一开始看到书名稳妇
[91.1-92.1] 我觉得挺土的
[92.1-93.2] 没啥吸引力
[93.2-95.2] 但我耐着性子读了十几页之后
[95.2-96.5] 我大腿都拍肿了
[96.5-97.5] 相见恨晚了
[97.5-99.5] 为什么没人早点告诉我这些道理
[99.5-100.4] 这本书简直就是
[100.4-101.7] 一把锋利的手术刀
[101.7-102.8] 极其精准地切开了
[102.8-103.6] 我们身上那些
[103.6-104.8] 导致贫穷的毒瘤
[104.8-105.6] 急功尽力
[105.6-106.4] 盲目跟风
[106.4-107.2] 毫无财商
[107.2-109.2] 他没有教你怎么去捕捉什么腰骨
[109.2-110.9] 也没有教你怎么去投机导把
[110.9-112.2] 他只教你一件事
[112.2-113.2] 怎么把你手里那些
[113.2-114.4] 你看不上的小钱
[114.4-115.8] 通过极其合理的规划
[115.8-117.2] 和长期主义的坚持
[117.2-118.4] 变成一笔庞大的
[118.4-120.3] 足以支撑你晚年生活的财富
[120.3-122.0] 吻富里讲到一个核心概念
[122.0-123.2] 深深地集中了
[123.2-125.2] 很多人的财富积累之所以失败
[125.2-127.1] 是因为他们把投资当成了赌博
[127.1-128.3] 赌博是靠运气
[128.3-129.5] 而真正的投资
[129.5-130.8] 是一场胜利游戏
[130.8-131.5] 你需要做的是
[131.5-133.2] 不断做大概率正确的事情
[133.2-134.8] 然后把剩下的交给时间
[134.8-135.9] 书里详细拆解了
[135.9-137.0] 如何科学的规划
[137.0-138.4] 你每个月的死工资
[138.4-139.8] 从几点的日常记账
[139.8-141.0] 到资金池的划分
[141.0-142.6] 再到傻瓜式的定头策略
[142.6-144.6] 他把那些灰色难懂的金融数语
[144.6-145.5] 全部揉碎了
[145.5-146.9] 变成了咱们普通老百姓
[146.9-147.6] 一听就懂
[147.6-148.9] 一看就会的大白话
[148.9-150.1] 你看完就会发现
[150.1-151.3] 原来理财这么简单
[151.3-152.7] 原来只要你不瞎折腾
[152.7-154.4] 顺着时间的方向慢慢走
[154.4-156.3] 你也能成为那个最终有钱的人
[156.3-156.9] 朋友们
[156.9-158.2] 别再为自己赚不到钱
[158.2-159.5] 找大环境的借口了
[159.5-160.8] 你只是差一个正确的
[160.8-162.0] 财富导师来典型你
[162.0-163.8] 左下角小黄车里的这本稳妇
[163.8-166.2] 就是你人生中最好的理财启蒙老师
[166.2-167.0] 你现在去外面
[167.0-168.3] 报个什么理财速成班
[168.3-169.4] 动辄几千上万
[169.4-170.5] 全是花式套路
[170.5-171.6] 而这本原汁原味
[171.6-172.6] 干货满满的书
[172.6-173.7] 只需要你几包烟
[173.7-174.8] 两杯奶茶的钱
